講義名,開講期間,曜日・時限,講義室,URL,講義室（改良）
社会調査法,第2,火4,全学講義棟 1-304,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F22075_ja_JP.html,全学講義棟 1-301
文化人類学総合演習Ⅰ,第1,火4,教養学部棟5階 文化資源調査室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F26081_ja_JP.html,工-31
文化人類学総合演習Ⅰ,第2,火4,教養学部棟5階 文化資源調査室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F26081_ja_JP.html,工-32
芸術論特殊講義Ⅱ,第2,火4,教養学部-34,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F34086_ja_JP.html,工-23
芸術論特殊講義Ⅱ,第1,火4,教養学部-34,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F34086_ja_JP.html,"工-21, 工-22"
哲学演習Ⅰ,第2,火4,教養学部-21,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F36001_ja_JP.html,工-21
哲学演習Ⅰ,第1,火4,教養学部-21,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F36001_ja_JP.html,工-11
アメリカ研究入門Ｂ,第2,火4,全学講義棟 1-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F41012_ja_JP.html,全学講義棟 1-302
アメリカ研究入門Ｂ,第1,火4,全学講義棟 1-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F41012_ja_JP.html,全学講義棟 1-301
フランス語会話(初級)ⅠＡ,第2,火4,教養学部-38,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F43061_ja_JP.html,工-31
フランス語会話(初級)ⅠＡ,第1,火4,教養学部-38,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F43061_ja_JP.html,工-22
合唱演習Ａ,第1,火4,コモ棟アンサンブル第１実習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y18100_ja_JP.html,全学講義棟 1-201
合唱演習Ａ,第2,火4,コモ棟アンサンブル第１実習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y18100_ja_JP.html,全学講義棟 1-201
図画工作科指導法　小（国・英・図・も・家）・副,第1,火4,全学講義棟 1-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y20032_ja_JP.html,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)"
図画工作科指導法　小（国・英・図・も・家）・副,第2,火4,全学講義棟 1-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y20032_ja_JP.html,全学講義棟 1-303
初等体育科指導法　小心・副,第2,火4,全学講義棟 1-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y22030_ja_JP.html,全学講義棟 1-207
初等体育科指導法　小心・副,第1,火4,全学講義棟 1-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y22030_ja_JP.html,全学講義棟 1-205
中等保健体育科指導法Ａ,第2,火4,教育Ａ２１３講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y22036_ja_JP.html,全学講義棟 3-101
中等保健体育科指導法Ａ,第1,火4,教育Ａ２１３講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y22036_ja_JP.html,全学講義棟 2-501
運動方法実践研究Ａ,第2,火4,教育Ａ１１３プロジェクト室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y22501_ja_JP.html,全学講義棟 2-402
運動方法実践研究Ａ,第1,火4,教育Ａ１１３プロジェクト室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y22501_ja_JP.html,全学講義棟 2-301
英会話 IA,第1,火4,全学講義棟 1-305,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y28191_ja_JP.html,全学講義棟 1-207
英会話 IA,第2,火4,全学講義棟 1-305,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y28191_ja_JP.html,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)"
教育心理学概説　小（心・算・も）,第2,火4,教育Ａ２１０講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y34011_ja_JP.html,全学講義棟 2-501
教育心理学概説　小（心・算・も）,第1,火4,教育Ａ２１０講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y34011_ja_JP.html,全学講義棟 2-401
教育心理学概説　小（教・国・家）,第1,火4,教育Ｃ１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y34012_ja_JP.html,全学講義棟 3-203
教育心理学概説　小（教・国・家）,第2,火4,教育Ｃ１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y34012_ja_JP.html,工-12
心理学演習 IIA,第1,火4,Ｂ棟研究室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y34142_ja_JP.html,工-56
心理学演習 IIA,第2,火4,Ｂ棟研究室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y34142_ja_JP.html,"工-54, 工学部情報工学科棟-端末演習室"
障害児の心理生理学,第1,火4,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y36050_ja_JP.html,全学講義棟 1-204
障害児の心理生理学,第2,火4,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y36050_ja_JP.html,全学講義棟 1-204
幼児教育方法　副3年以上(22年入学者以前)、副2年以上(23年入学者～),第1,火4,教育Ａ２１２講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y38040_ja_JP.html,全学講義棟 2-402
幼児教育方法　副3年以上(22年入学者以前)、副2年以上(23年入学者～),第2,火4,教育Ａ２１２講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y38040_ja_JP.html,全学講義棟 2-502
教職入門 I　小（音・図・体）・特・乳,第1,火4,教育Ａ２１４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y50004_ja_JP.html,全学講義棟 2-502
教職入門 I　小（音・図・体）・特・乳,第2,火4,教育Ａ２１４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y50004_ja_JP.html,全学講義棟 3-201
教職入門 I　中（国・社・理・美・体）・養（001-010）,第2,火4,教育Ａ３２４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y50005_ja_JP.html,全学講義棟 3-203
教職入門 I　中（国・社・理・美・体）・養（001-010）,第1,火4,教育Ａ３２４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y50005_ja_JP.html,全学講義棟 3-201
教職入門 I　中（英・数・音・技・家）・養（011-）,第1,火4,教育Ａ３２５講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y50006_ja_JP.html,全学講義棟 3-202
教職入門 I　中（英・数・音・技・家）・養（011-）,第2,火4,教育Ａ３２５講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y50006_ja_JP.html,工-11
養護活動論,第1,火4,教育Ａ３０１学校保健学実習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y60210_ja_JP.html,全学講義棟 3-101
養護活動論,第2,火4,教育Ａ３０１学校保健学実習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y60210_ja_JP.html,全学講義棟 3-202
食品栄養学実験,第1,火4,食品･栄養学実験室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y24245_ja_JP.html,工-55
食品栄養学実験,第2,火4,食品･栄養学実験室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y24245_ja_JP.html,工-54
解析学序論,第2,火4,理-9番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0401/0401_R11114_ja_JP.html,工-52
解析学序論,第1,火4,理-9番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0401/0401_R11114_ja_JP.html,工-51
力学Ⅰ,第2,火4,理-8番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0402/0402_RT2022_ja_JP.html,工-51
力学Ⅰ,第1,火4,理-8番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0402/0402_RT2022_ja_JP.html,工-50
数値解析とアルゴリズム,第2,火4,工-54,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_T62220_ja_JP.html,全学講義棟 2-203
数値解析とアルゴリズム,第1,火4,工-54,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_T62220_ja_JP.html,全学講義棟 2-201
基礎電気回路演習,第1,火4,全学講義棟 3-101,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_T72012_ja_JP.html,全学講義棟 1-305
基礎電気回路演習,第2,火4,全学講義棟 3-101,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_T72012_ja_JP.html,全学講義棟 1-402
電子材料工学Ⅰ,第2,火4,工-12,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_T72310_ja_JP.html,全学講義棟 2-101
電子材料工学Ⅰ,第1,火4,工-12,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_T72310_ja_JP.html,全学講義棟 1-403
非線形システム概論,第1,火4,工-56,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0523/0523_T73480_ja_JP.html,全学講義棟 2-202
非線形システム概論,第2,火4,工-56,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0523/0523_T73480_ja_JP.html,全学講義棟 2-301
設計製図基礎,第2,火4,全学講義棟 1-403,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76070_ja_JP.html,全学講義棟 1-304
設計製図基礎,第1,火4,全学講義棟 1-403,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76070_ja_JP.html,全学講義棟 1-302
機械工学実験Ⅱ,第2,火4,機械実験室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71200_ja_JP.html,工-50
機械工学実験Ⅱ,第1,火4,機械実験室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71200_ja_JP.html,工-32
環境社会デザイン実験,第2,火4,工-32,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76460_ja_JP.html,全学講義棟 2-201
環境社会デザイン実験,第1,火4,工-32,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76460_ja_JP.html,全学講義棟 2-103
応用化学実験Ⅰ,第2,火4,"工-21, 工-22",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0524/0524_T74420_ja_JP.html,全学講義棟 2-102
応用化学実験Ⅰ,第1,火4,"工-21, 工-22",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0524/0524_T74420_ja_JP.html,全学講義棟 2-101
応用化学実験Ⅲ,第2,火4,工-23,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0524/0524_T74440_ja_JP.html,全学講義棟 2-103
応用化学実験Ⅲ,第1,火4,工-23,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0524/0524_T74440_ja_JP.html,全学講義棟 2-102
日本語音声・音韻論,第1,火4,教養学部-24,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC222110_ja_JP.html,工-12
日本語音声・音韻論,第2,火4,教養学部-24,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC222110_ja_JP.html,"工-21, 工-22"
総合・道徳開発演習,第2,火4,教育Ａ１１０講義室（教職大学院講義室）,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/180611/180611_W20008_ja_JP.html,全学講義棟 2-401
総合・道徳開発演習,第1,火4,教育Ａ１１０講義室（教職大学院講義室）,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/180611/180611_W20008_ja_JP.html,全学講義棟 2-203
子ども認識の思想と構造,第2,火4,コモ棟教育学第３演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/180614/180614_W28052_ja_JP.html,全学講義棟 1-202
子ども認識の思想と構造,第1,火4,コモ棟教育学第３演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/180614/180614_W28052_ja_JP.html,全学講義棟 1-202
体育・保健体育科教育の授業内容・指導法探求,第1,火4,Ｈ棟研究室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/180628/180628_W37001_ja_JP.html,"工-セミナー室2, 工-演習室2, 工-56"
体育・保健体育科教育の授業内容・指導法探求,第2,火4,Ｈ棟研究室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/180628/180628_W37001_ja_JP.html,工-55
最適化アルゴリズム特論,第2,火4,工-53,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240303/240303_MM33290_ja_JP.html,全学講義棟 2-202
最適化アルゴリズム特論,第1,火4,工-53,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240303/240303_MM33290_ja_JP.html,"全学講義棟 2-103, 全学講義棟 3-203"
日本語音声教育研究特論Ⅱ,第2,火4,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/27/27_GC12128_ja_JP.html,工-56
日本語音声教育研究特論Ⅱ,第1,火4,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/27/27_GC12128_ja_JP.html,工-セミナー室6
言語学研究特論Ⅱ,第1,火4,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/27/27_GC12137_ja_JP.html,工-セミナー室7
言語学研究特論Ⅱ,第2,火4,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/27/27_GC12137_ja_JP.html,"工-セミナー室2, 工-演習室2, 工-56"
中国近現代史研究特論Ⅱ,第1,火4,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/27/27_GC12422_ja_JP.html,工-セミナー室8
中国近現代史研究特論Ⅱ,第2,火4,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/27/27_GC12422_ja_JP.html,工-セミナー室5
博物館資料保存論,第2,火5,教養学部-31,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F00604_ja_JP.html,全学講義棟 3-203
博物館資料保存論,第1,火5,教養学部-31,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F00604_ja_JP.html,全学講義棟 3-202
国際貿易論,第1,火5,教養学部-23,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F15179_ja_JP.html,全学講義棟 3-201
国際貿易論,第2,火5,教養学部-23,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F15179_ja_JP.html,全学講義棟 3-202
宗教人類学,第1,火5,全学講義棟 1-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F25061_ja_JP.html,全学講義棟 1-206
宗教人類学,第2,火5,全学講義棟 1-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F25061_ja_JP.html,全学講義棟 1-301
倫理学Ⅱ,第2,火5,全学講義棟 1-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F34022_ja_JP.html,全学講義棟 1-203
倫理学Ⅱ,第1,火5,全学講義棟 1-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F34022_ja_JP.html,全学講義棟 1-203
地理学概論（地誌学を含む。）　(22年以前入学者：地理学概論）,第2,火5,全学講義棟 1-304,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y12210_ja_JP.html,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)"
地理学概論（地誌学を含む。）　(22年以前入学者：地理学概論）,第1,火5,全学講義棟 1-304,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y12210_ja_JP.html,全学講義棟 1-207
社会学特講Ｂ,第2,火5,教育Ａ１１３プロジェクト室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y12360_ja_JP.html,全学講義棟 2-402
社会学特講Ｂ,第1,火5,教育Ａ１１３プロジェクト室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y12360_ja_JP.html,全学講義棟 2-401
解析学Ａ,第2,火5,教育Ａ３２５講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y14140_ja_JP.html,全学講義棟 3-201
解析学Ａ,第1,火5,教育Ａ３２５講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y14140_ja_JP.html,全学講義棟 3-101
声楽演習Ａ　音楽分野2年生優先,第2,火5,コモ棟ＭＬ第１実習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y18203_ja_JP.html,全学講義棟 1-202
声楽演習Ａ　音楽分野2年生優先,第1,火5,コモ棟ＭＬ第１実習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y18203_ja_JP.html,全学講義棟 1-202
ピアノ演習Ａ（伴奏を含む）,第2,火5,コモ棟アンサンブル第１実習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y18323_ja_JP.html,全学講義棟 1-201
ピアノ演習Ａ（伴奏を含む）,第1,火5,コモ棟アンサンブル第１実習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y18323_ja_JP.html,全学講義棟 1-201
指揮法概説 I,第2,火5,教育コモ棟音楽第１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y18422_ja_JP.html,全学講義棟 2-203
指揮法概説 I,第1,火5,教育コモ棟音楽第１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y18422_ja_JP.html,全学講義棟 2-301
栽培技術の基礎（実習を主とする）,第1,火5,大久保農場,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y26200_ja_JP.html,全学講義棟 1-303
栽培技術の基礎（実習を主とする）,第2,火5,大久保農場,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y26200_ja_JP.html,全学講義棟 1-305
中等英語科指導法Ｃ　（「英語科指導法Ｃ」）,第2,火5,教育Ａ３２４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y28033_ja_JP.html,全学講義棟 3-101
中等英語科指導法Ｃ　（「英語科指導法Ｃ」）,第1,火5,教育Ａ３２４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y28033_ja_JP.html,全学講義棟 2-502
英会話 IA,第2,火5,全学講義棟 1-305,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y28192_ja_JP.html,全学講義棟 1-302
英会話 IA,第1,火5,全学講義棟 1-305,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y28192_ja_JP.html,全学講義棟 1-301
カウンセリング特講,第1,火5,教育Ａ２１２講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y34215_ja_JP.html,全学講義棟 2-402
カウンセリング特講,第2,火5,教育Ａ２１２講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y34215_ja_JP.html,全学講義棟 2-501
障害児の心理と指導,第2,火5,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y36090_ja_JP.html,全学講義棟 1-204
障害児の心理と指導,第1,火5,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y36090_ja_JP.html,全学講義棟 1-204
乳幼児教育学,第2,火5,教育Ａ２１３講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y38200_ja_JP.html,全学講義棟 2-502
乳幼児教育学,第1,火5,教育Ａ２１３講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y38200_ja_JP.html,全学講義棟 2-501
教授・学習システム論,第2,火5,情報メディア端末室(2),https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y44031_ja_JP.html,全学講義棟 2-202
教授・学習システム論,第1,火5,情報メディア端末室(2),https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y44031_ja_JP.html,全学講義棟 2-203
食品栄養学実験,第1,火5,食品･栄養学実験室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y24245_ja_JP.html,工-52
食品栄養学実験,第2,火5,食品･栄養学実験室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y24245_ja_JP.html,工-50
物理実験学Ⅰ,第2,火5,理-8番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0402/0402_R12306_ja_JP.html,工-31
物理実験学Ⅰ,第1,火5,理-8番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0402/0402_R12306_ja_JP.html,工-23
物理学演習ⅠＡ,第2,火5,理-3番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0402/0402_R12363_ja_JP.html,工-23
物理学演習ⅠＡ,第1,火5,理-3番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0402/0402_R12363_ja_JP.html,工-22
基礎化学物理Ⅱ,第2,火5,理-1番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0403/0403_R13006_ja_JP.html,工-22
基礎化学物理Ⅱ,第1,火5,理-1番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0403/0403_R13006_ja_JP.html,"工-21, 工-22"
生体制御学,第2,火5,全学講義棟 1-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0405/0405_R15016_ja_JP.html,全学講義棟 1-303
生体制御学,第1,火5,全学講義棟 1-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0405/0405_R15016_ja_JP.html,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)"
線形代数学Ｃ,第1,火5,理-10番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0401/0401_RT1081_ja_JP.html,工-21
線形代数学Ｃ,第2,火5,理-10番講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0401/0401_RT1081_ja_JP.html,"工-21, 工-22"
情報処理,第2,火5,工-53,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T66160_ja_JP.html,全学講義棟 2-103
情報処理,第1,火5,工-53,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T66160_ja_JP.html,全学講義棟 2-103
自動制御,第2,火5,工-56,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_T72170_ja_JP.html,"全学講義棟 2-103, 全学講義棟 3-203"
自動制御,第1,火5,工-56,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_T72170_ja_JP.html,"全学講義棟 2-103, 全学講義棟 3-203"
プログラミング演習Ⅱ,第2,火5,工学部情報工学科棟-端末演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0523/0523_T73130_ja_JP.html,全学講義棟 2-201
プログラミング演習Ⅱ,第1,火5,工学部情報工学科棟-端末演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0523/0523_T73130_ja_JP.html,全学講義棟 2-202
設計製図基礎,第1,火5,全学講義棟 1-403,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76070_ja_JP.html,全学講義棟 1-302
設計製図基礎,第2,火5,全学講義棟 1-403,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76070_ja_JP.html,全学講義棟 1-304
機械工学実験Ⅱ,第2,火5,機械実験室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71200_ja_JP.html,工-21
機械工学実験Ⅱ,第1,火5,機械実験室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71200_ja_JP.html,工-12
環境社会デザイン実験,第2,火5,工-32,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76460_ja_JP.html,全学講義棟 1-403
環境社会デザイン実験,第1,火5,工-32,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76460_ja_JP.html,全学講義棟 1-403
応用化学実験Ⅰ,第2,火5,"工-21, 工-22",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0524/0524_T74420_ja_JP.html,全学講義棟 1-401
応用化学実験Ⅰ,第1,火5,"工-21, 工-22",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0524/0524_T74420_ja_JP.html,全学講義棟 1-401
応用化学実験Ⅲ,第2,火5,工-23,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0524/0524_T74440_ja_JP.html,全学講義棟 1-402
応用化学実験Ⅲ,第1,火5,工-23,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0524/0524_T74440_ja_JP.html,全学講義棟 1-402
Principles of Economics for Developing CountriesⅠ,第2,火5,教養学部棟4階国際関係ﾌﾟﾛｼﾞｪｸﾄ室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC110141_ja_JP.html,工-12
Principles of Economics for Developing CountriesⅠ,第1,火5,教養学部棟4階国際関係ﾌﾟﾛｼﾞｪｸﾄ室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC110141_ja_JP.html,工-11
日本語語用論Ⅲ,第1,火5,教養学部棟4階 言語文化実習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC221750_ja_JP.html,全学講義棟 3-203
日本語語用論Ⅲ,第2,火5,教養学部棟4階 言語文化実習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC221750_ja_JP.html,工-11
特別支援教育コーディネーター演習　共通科目,第1,火5,教育Ａ１１０講義室（教職大学院講義室）,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/180612/180612_W21002_ja_JP.html,全学講義棟 2-302
特別支援教育コーディネーター演習　共通科目,第2,火5,教育Ａ１１０講義室（教職大学院講義室）,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/180612/180612_W21002_ja_JP.html,全学講義棟 2-302
結晶化学特論,第1,火5,工-51,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240202/240202_MM22110_ja_JP.html,全学講義棟 2-101
結晶化学特論,第2,火5,工-51,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240202/240202_MM22110_ja_JP.html,全学講義棟 2-101
ロボット設計学特論,第2,火5,工-52,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240401/240401_MM40260_ja_JP.html,全学講義棟 2-102
